file,label,defect_type,d_star,w,score_eq7
000.png,1,broken_large,3.371944,0.912155,3.075734
001.png,1,broken_large,3.372864,0.910752,3.071842
002.png,1,broken_large,3.366803,0.906946,3.053509
003.png,1,broken_large,3.650510,0.917001,3.347523
004.png,1,broken_large,3.729491,0.912909,3.404687
005.png,1,broken_large,3.285624,0.908602,2.985323
006.png,1,broken_large,3.654504,0.910441,3.327209
007.png,1,broken_large,3.271899,0.918056,3.003786
008.png,1,broken_large,3.538745,0.908928,3.216466
009.png,1,broken_large,3.299391,0.918758,3.031341
010.png,1,broken_large,3.531312,0.906748,3.202011
011.png,1,broken_large,2.994946,0.911318,2.729347
012.png,1,broken_large,3.620959,0.913527,3.307844
013.png,1,broken_large,3.172305,0.914647,2.901539
014.png,1,broken_large,3.346933,0.909969,3.045603
015.png,1,broken_large,3.422435,0.914276,3.129051
016.png,1,broken_large,3.300796,0.903314,2.981654
017.png,1,broken_large,3.685589,0.910496,3.355715
018.png,1,broken_large,3.427848,0.915089,3.136788
019.png,1,broken_large,3.243281,0.909140,2.948595
000.png,1,broken_small,2.668368,0.907859,2.422503
001.png,1,broken_small,3.439792,0.904157,3.110112
002.png,1,broken_small,3.375629,0.911826,3.077988
003.png,1,broken_small,3.454898,0.909434,3.142002
004.png,1,broken_small,3.768196,0.904545,3.408501
005.png,1,broken_small,2.928025,0.911091,2.667698
006.png,1,broken_small,3.501347,0.920589,3.223302
007.png,1,broken_small,3.018438,0.910297,2.747675
008.png,1,broken_small,2.849823,0.912184,2.599562
009.png,1,broken_small,3.284276,0.910067,2.988913
010.png,1,broken_small,3.587333,0.915518,3.284270
011.png,1,broken_small,3.067550,0.908369,2.786466
012.png,1,broken_small,3.560956,0.906668,3.228603
013.png,1,broken_small,2.994910,0.915791,2.742710
014.png,1,broken_small,2.915446,0.915500,2.669089
015.png,1,broken_small,2.995909,0.911138,2.729688
016.png,1,broken_small,3.321987,0.913628,3.035059
017.png,1,broken_small,3.729132,0.918542,3.425366
018.png,1,broken_small,3.925439,0.906704,3.559213
019.png,1,broken_small,3.422261,0.910998,3.117671
020.png,1,broken_small,3.635430,0.908351,3.302245
021.png,1,broken_small,3.280628,0.905809,2.971623
000.png,1,contamination,3.168667,0.898983,2.848579
001.png,1,contamination,2.643861,0.911572,2.410069
002.png,1,contamination,2.706828,0.913084,2.471560
003.png,1,contamination,2.059637,0.911939,1.878262
004.png,1,contamination,2.288023,0.907600,2.076610
005.png,1,contamination,3.587049,0.910769,3.266971
006.png,1,contamination,3.044746,0.906700,2.760672
007.png,1,contamination,4.093393,0.913377,3.738813
008.png,1,contamination,3.130548,0.921440,2.884613
009.png,1,contamination,3.143495,0.917648,2.884623
010.png,1,contamination,3.289413,0.917025,3.016474
011.png,1,contamination,2.722947,0.912032,2.483415
012.png,1,contamination,2.287719,0.915786,2.095062
013.png,1,contamination,4.129370,0.906180,3.741954
014.png,1,contamination,2.487960,0.915565,2.277890
015.png,1,contamination,3.415180,0.908247,3.101827
016.png,1,contamination,2.699671,0.911317,2.460255
017.png,1,contamination,3.678973,0.908460,3.342200
018.png,1,contamination,3.732661,0.902568,3.368980
019.png,1,contamination,2.245263,0.905017,2.032001
020.png,1,contamination,2.615237,0.916202,2.396084
000.png,0,good,1.470036,0.912718,1.341729
001.png,0,good,1.684903,0.905928,1.526400
002.png,0,good,1.515043,0.907454,1.374833
003.png,0,good,1.416888,0.914146,1.295243
004.png,0,good,1.411992,0.908056,1.282167
005.png,0,good,1.394162,0.916909,1.278320
006.png,0,good,1.508500,0.927459,1.399072
007.png,0,good,1.484823,0.918310,1.363528
008.png,0,good,1.456750,0.909430,1.324812
009.png,0,good,1.522424,0.906555,1.380162
010.png,0,good,1.463744,0.909261,1.330926
011.png,0,good,1.434642,0.915711,1.313718
012.png,0,good,1.528612,0.917031,1.401785
013.png,0,good,1.444093,0.908912,1.312553
014.png,0,good,1.475570,0.916050,1.351696
015.png,0,good,1.570659,0.918975,1.443396
016.png,0,good,1.538847,0.900355,1.385509
017.png,0,good,1.400167,0.909708,1.273743
018.png,0,good,1.568578,0.922544,1.447083
019.png,0,good,1.637461,0.903620,1.479642
