file,label,defect_type,d_star,w,score_eq7
000.png,1,bent_wire,3.405719,0.912816,3.108796
001.png,1,bent_wire,3.511116,0.907631,3.186799
002.png,1,bent_wire,3.561895,0.927503,3.303669
003.png,1,bent_wire,3.375974,0.910033,3.072248
004.png,1,bent_wire,3.942771,0.912613,3.598225
005.png,1,bent_wire,3.771906,0.913568,3.445893
006.png,1,bent_wire,3.629828,0.906212,3.289394
007.png,1,bent_wire,3.414100,0.908184,3.100629
008.png,1,bent_wire,3.012996,0.920906,2.774685
009.png,1,bent_wire,3.956798,0.912756,3.611593
010.png,1,bent_wire,3.438728,0.913992,3.142971
011.png,1,bent_wire,4.128454,0.922050,3.806642
012.png,1,bent_wire,3.607288,0.920467,3.320389
000.png,1,cable_swap,2.551089,0.917134,2.339689
001.png,1,cable_swap,2.751850,0.912381,2.510736
002.png,1,cable_swap,2.783929,0.911009,2.536184
003.png,1,cable_swap,2.565489,0.917372,2.353508
004.png,1,cable_swap,2.623500,0.908949,2.384627
005.png,1,cable_swap,2.905604,0.916627,2.663354
006.png,1,cable_swap,2.460827,0.909715,2.238652
007.png,1,cable_swap,2.551536,0.924130,2.357950
008.png,1,cable_swap,2.788505,0.909465,2.536047
009.png,1,cable_swap,2.686261,0.909121,2.442136
010.png,1,cable_swap,2.822805,0.918323,2.592247
011.png,1,cable_swap,2.541729,0.917525,2.332101
000.png,1,combined,3.870506,0.908674,3.517027
001.png,1,combined,3.643746,0.916808,3.340616
002.png,1,combined,3.277971,0.910103,2.983291
003.png,1,combined,3.555711,0.918338,3.265342
004.png,1,combined,3.379829,0.907013,3.065551
005.png,1,combined,3.657350,0.921593,3.370589
006.png,1,combined,3.632583,0.918301,3.335804
007.png,1,combined,3.223712,0.920417,2.967160
008.png,1,combined,4.082911,0.913068,3.727977
009.png,1,combined,3.008143,0.912970,2.746346
010.png,1,combined,3.527285,0.921714,3.251149
000.png,1,cut_inner_insulation,2.725764,0.920927,2.510229
001.png,1,cut_inner_insulation,3.152840,0.915427,2.886196
002.png,1,cut_inner_insulation,2.721779,0.907428,2.469820
003.png,1,cut_inner_insulation,3.036993,0.923659,2.805146
004.png,1,cut_inner_insulation,3.207097,0.915347,2.935607
005.png,1,cut_inner_insulation,2.940143,0.925478,2.721038
006.png,1,cut_inner_insulation,2.685723,0.912930,2.451877
007.png,1,cut_inner_insulation,3.211569,0.918183,2.948808
008.png,1,cut_inner_insulation,2.685087,0.912067,2.448979
009.png,1,cut_inner_insulation,3.091319,0.918087,2.838099
010.png,1,cut_inner_insulation,3.028432,0.912816,2.764402
011.png,1,cut_inner_insulation,3.308177,0.914886,3.026604
012.png,1,cut_inner_insulation,2.908376,0.913346,2.656354
013.png,1,cut_inner_insulation,3.227494,0.920154,2.969790
000.png,1,cut_outer_insulation,3.348360,0.913121,3.057459
001.png,1,cut_outer_insulation,3.121322,0.914053,2.853054
002.png,1,cut_outer_insulation,3.106604,0.906206,2.815223
003.png,1,cut_outer_insulation,2.684667,0.908099,2.437942
004.png,1,cut_outer_insulation,2.704175,0.910593,2.462402
005.png,1,cut_outer_insulation,3.104112,0.909478,2.823122
006.png,1,cut_outer_insulation,3.016426,0.922705,2.783272
007.png,1,cut_outer_insulation,2.848234,0.925503,2.636049
008.png,1,cut_outer_insulation,2.910878,0.920256,2.678754
009.png,1,cut_outer_insulation,2.935089,0.921955,2.706019
000.png,0,good,2.255097,0.913090,2.059106
001.png,0,good,2.381757,0.930152,2.215395
002.png,0,good,2.335778,0.914242,2.135467
003.png,0,good,2.233576,0.915625,2.045117
004.png,0,good,2.317777,0.924230,2.142160
005.png,0,good,2.322255,0.926804,2.152274
006.png,0,good,2.145808,0.917387,1.968535
007.png,0,good,2.240335,0.936705,2.098532
008.png,0,good,2.345010,0.919025,2.155123
009.png,0,good,2.201864,0.915009,2.014726
010.png,0,good,2.196326,0.911303,2.001519
011.png,0,good,2.444894,0.909989,2.224827
012.png,0,good,2.361013,0.917772,2.166873
013.png,0,good,2.403547,0.935786,2.249205
