file,label,defect_type,d_star,w,score_eq7
000.png,1,crack,1.618382,0.916749,1.483650
001.png,1,crack,3.626075,0.900277,3.264473
002.png,1,crack,1.945660,0.917488,1.785119
003.png,1,crack,2.163898,0.905767,1.959987
004.png,1,crack,2.794591,0.902823,2.523020
005.png,1,crack,1.703999,0.910948,1.552255
006.png,1,crack,2.194597,0.909402,1.995770
007.png,1,crack,2.202194,0.912388,2.009255
008.png,1,crack,1.635614,0.909337,1.487323
009.png,1,crack,1.942609,0.904041,1.756199
010.png,1,crack,3.077574,0.907354,2.792450
011.png,1,crack,2.546319,0.903692,2.301088
012.png,1,crack,2.449571,0.915689,2.243044
013.png,1,crack,1.803130,0.912628,1.645586
014.png,1,crack,2.223192,0.903867,2.009469
015.png,1,crack,2.832687,0.907966,2.571983
016.png,1,crack,1.628898,0.907429,1.478109
017.png,1,crack,2.987304,0.911972,2.724338
018.png,1,crack,2.060964,0.904140,1.863401
019.png,1,crack,1.828335,0.918874,1.680010
020.png,1,crack,1.638203,0.911022,1.492438
021.png,1,crack,1.515051,0.907472,1.374867
022.png,1,crack,1.505179,0.914332,1.376233
000.png,1,faulty_imprint,2.002436,0.914248,1.830723
001.png,1,faulty_imprint,1.703462,0.904189,1.540251
002.png,1,faulty_imprint,1.754487,0.901347,1.581401
003.png,1,faulty_imprint,1.584219,0.911545,1.444086
004.png,1,faulty_imprint,2.407808,0.908095,2.186517
005.png,1,faulty_imprint,2.468585,0.913211,2.254338
006.png,1,faulty_imprint,1.623928,0.917080,1.489272
007.png,1,faulty_imprint,1.867754,0.926352,1.730199
008.png,1,faulty_imprint,1.908471,0.908199,1.733272
009.png,1,faulty_imprint,1.804798,0.911861,1.645726
010.png,1,faulty_imprint,2.183561,0.919627,2.008063
011.png,1,faulty_imprint,1.461856,0.928898,1.357916
012.png,1,faulty_imprint,1.603279,0.927638,1.487262
013.png,1,faulty_imprint,1.737084,0.907714,1.576775
014.png,1,faulty_imprint,2.134905,0.906714,1.935747
015.png,1,faulty_imprint,1.515380,0.903047,1.368458
016.png,1,faulty_imprint,1.710342,0.926485,1.584607
017.png,1,faulty_imprint,1.685881,0.911273,1.536298
018.png,1,faulty_imprint,1.599439,0.926768,1.482309
019.png,1,faulty_imprint,1.474973,0.909522,1.341520
020.png,1,faulty_imprint,2.090375,0.913160,1.908848
021.png,1,faulty_imprint,1.853045,0.909282,1.684941
000.png,0,good,1.254977,0.908991,1.140763
001.png,0,good,1.207282,0.913833,1.103255
002.png,0,good,1.317957,0.915307,1.206336
003.png,0,good,1.150896,0.912473,1.050162
004.png,0,good,1.164637,0.915754,1.066522
005.png,0,good,1.130594,0.908409,1.027043
006.png,0,good,1.544198,0.913395,1.410463
007.png,0,good,1.369637,0.929423,1.272972
008.png,0,good,1.290825,0.908784,1.173081
009.png,0,good,1.231157,0.909608,1.119870
010.png,0,good,1.406654,0.911569,1.282262
011.png,0,good,1.215395,0.909822,1.105793
012.png,0,good,1.235762,0.914864,1.130554
013.png,0,good,1.140061,0.910366,1.037873
014.png,0,good,1.274680,0.917570,1.169608
015.png,0,good,1.269351,0.904213,1.147763
016.png,0,good,1.158341,0.908472,1.052320
017.png,0,good,1.153027,0.922961,1.064199
018.png,0,good,1.250647,0.917001,1.146845
019.png,0,good,1.415858,0.923837,1.308021
020.png,0,good,1.249876,0.921471,1.151725
021.png,0,good,1.684982,0.927739,1.563223
022.png,0,good,1.198127,0.931660,1.116247
000.png,1,poke,3.241967,0.904668,2.932904
001.png,1,poke,1.872960,0.905680,1.696303
002.png,1,poke,1.563920,0.908405,1.420673
003.png,1,poke,1.632610,0.914270,1.492647
004.png,1,poke,2.054257,0.928604,1.907591
005.png,1,poke,1.683506,0.911733,1.534909
006.png,1,poke,1.606477,0.909577,1.461215
007.png,1,poke,1.588028,0.915503,1.453844
008.png,1,poke,2.431965,0.907018,2.205835
009.png,1,poke,1.534803,0.913235,1.401637
010.png,1,poke,1.457004,0.914837,1.332921
011.png,1,poke,2.094796,0.898977,1.883173
012.png,1,poke,1.691074,0.918926,1.553972
013.png,1,poke,2.396850,0.906556,2.172879
014.png,1,poke,2.250848,0.907143,2.041840
015.png,1,poke,1.697689,0.912876,1.549781
016.png,1,poke,1.765580,0.918022,1.620841
017.png,1,poke,1.629613,0.907681,1.479169
018.png,1,poke,1.777951,0.909778,1.617541
019.png,1,poke,1.795320,0.921141,1.653742
020.png,1,poke,1.877348,0.907373,1.703455
000.png,1,scratch,1.540768,0.909454,1.401257
001.png,1,scratch,1.544690,0.907141,1.401251
002.png,1,scratch,1.558408,0.907763,1.414665
003.png,1,scratch,1.505332,0.912678,1.373884
004.png,1,scratch,1.718399,0.913168,1.569187
005.png,1,scratch,1.275530,0.908459,1.158767
006.png,1,scratch,1.598031,0.916920,1.465267
007.png,1,scratch,1.918757,0.912882,1.751599
008.png,1,scratch,1.920079,0.915310,1.757467
009.png,1,scratch,1.435759,0.916147,1.315367
010.png,1,scratch,1.797563,0.907348,1.631015
011.png,1,scratch,1.872987,0.912238,1.708610
012.png,1,scratch,1.435852,0.903187,1.296843
013.png,1,scratch,1.605118,0.927384,1.488562
014.png,1,scratch,2.155403,0.902870,1.946048
015.png,1,scratch,1.619078,0.908345,1.470682
016.png,1,scratch,1.930673,0.901688,1.740865
017.png,1,scratch,1.258137,0.913131,1.148844
018.png,1,scratch,1.979706,0.926325,1.833850
019.png,1,scratch,2.065035,0.912576,1.884501
020.png,1,scratch,1.961602,0.921388,1.807397
021.png,1,scratch,1.526046,0.903954,1.379474
022.png,1,scratch,1.782602,0.921993,1.643546
000.png,1,squeeze,2.578533,0.910842,2.348637
001.png,1,squeeze,2.548795,0.908567,2.315752
002.png,1,squeeze,1.888843,0.903133,1.705876
003.png,1,squeeze,2.473248,0.902353,2.231743
004.png,1,squeeze,2.123272,0.902598,1.916461
005.png,1,squeeze,2.159988,0.909178,1.963813
006.png,1,squeeze,2.864494,0.905170,2.592853
007.png,1,squeeze,3.120059,0.904822,2.823099
008.png,1,squeeze,2.354957,0.902519,2.125392
009.png,1,squeeze,2.706840,0.908739,2.459810
010.png,1,squeeze,2.282493,0.907312,2.070932
011.png,1,squeeze,3.083300,0.903101,2.784531
012.png,1,squeeze,2.214889,0.913921,2.024233
013.png,1,squeeze,2.298238,0.903514,2.076490
