file,label,defect_type,d_star,w,score_eq7
000.png,1,color,3.209264,0.900742,2.890719
001.png,1,color,3.138742,0.916522,2.876727
002.png,1,color,2.359466,0.911321,2.150230
003.png,1,color,2.394749,0.910808,2.181157
004.png,1,color,2.976121,0.915726,2.725312
005.png,1,color,2.316891,0.918057,2.127039
006.png,1,color,2.733476,0.911281,2.490965
007.png,1,color,2.959887,0.914703,2.707416
008.png,1,color,3.431447,0.912079,3.129750
009.png,1,color,2.748968,0.902665,2.481396
010.png,1,color,2.527715,0.916083,2.315596
011.png,1,color,2.565910,0.909398,2.333433
012.png,1,color,2.748343,0.905775,2.489380
013.png,1,color,2.011126,0.906387,1.822858
014.png,1,color,2.207809,0.901628,1.990622
015.png,1,color,2.828667,0.909658,2.573119
016.png,1,color,2.398928,0.909184,2.181067
017.png,1,color,2.413366,0.913969,2.205742
018.png,1,color,2.411088,0.912858,2.200979
000.png,1,cut,2.967841,0.910516,2.702266
001.png,1,cut,2.627091,0.909766,2.390037
002.png,1,cut,3.164328,0.913507,2.890636
003.png,1,cut,3.295671,0.907895,2.992122
004.png,1,cut,2.495862,0.909136,2.269078
005.png,1,cut,2.439120,0.909657,2.218762
006.png,1,cut,3.136064,0.910653,2.855865
007.png,1,cut,2.804781,0.910949,2.555013
008.png,1,cut,2.160387,0.905138,1.955449
009.png,1,cut,3.072220,0.909792,2.795081
010.png,1,cut,2.972731,0.915271,2.720853
011.png,1,cut,2.797750,0.905513,2.533398
012.png,1,cut,3.202917,0.911894,2.920721
013.png,1,cut,2.865458,0.912928,2.615957
014.png,1,cut,2.565514,0.912923,2.342116
015.png,1,cut,3.191078,0.908974,2.900606
016.png,1,cut,2.720123,0.916198,2.492172
000.png,0,good,1.476719,0.902238,1.332352
001.png,0,good,1.476634,0.905756,1.337469
002.png,0,good,1.765994,0.911246,1.609255
003.png,0,good,1.777936,0.912360,1.622117
004.png,0,good,1.579669,0.907780,1.433992
005.png,0,good,1.598348,0.911438,1.456795
006.png,0,good,1.902110,0.902936,1.717484
007.png,0,good,1.603395,0.911712,1.461834
008.png,0,good,1.685215,0.906888,1.528301
009.png,0,good,1.775019,0.902517,1.601985
010.png,0,good,1.553555,0.903385,1.403458
011.png,0,good,1.475120,0.904331,1.333996
012.png,0,good,1.791371,0.912008,1.633745
013.png,0,good,1.773900,0.913673,1.620765
014.png,0,good,1.936648,0.909234,1.760867
015.png,0,good,1.718423,0.907713,1.559835
016.png,0,good,1.461755,0.901153,1.317264
017.png,0,good,1.466535,0.905542,1.328009
018.png,0,good,1.515940,0.906975,1.374920
019.png,0,good,1.452229,0.900753,1.308100
020.png,0,good,1.443456,0.906430,1.308391
021.png,0,good,1.423742,0.908199,1.293042
022.png,0,good,1.464079,0.906918,1.327800
023.png,0,good,1.481892,0.901355,1.335711
024.png,0,good,1.504760,0.906171,1.363570
025.png,0,good,1.466101,0.903797,1.325058
026.png,0,good,1.481591,0.908776,1.346434
027.png,0,good,1.441629,0.905537,1.305447
000.png,1,hole,2.587287,0.905118,2.341801
001.png,1,hole,1.870104,0.908186,1.698401
002.png,1,hole,2.296314,0.914865,2.100817
003.png,1,hole,2.790135,0.912702,2.546563
004.png,1,hole,2.816854,0.904173,2.546924
005.png,1,hole,2.479362,0.918553,2.277425
006.png,1,hole,3.079505,0.910482,2.803833
007.png,1,hole,3.438786,0.908023,3.122496
008.png,1,hole,3.182468,0.912022,2.902483
009.png,1,hole,2.784309,0.918031,2.556082
010.png,1,hole,3.039073,0.909929,2.765340
011.png,1,hole,2.800635,0.908038,2.543084
012.png,1,hole,2.464782,0.907373,2.236476
013.png,1,hole,2.722152,0.911125,2.480222
014.png,1,hole,3.006025,0.915875,2.753144
015.png,1,hole,2.702525,0.908443,2.455091
016.png,1,hole,2.401182,0.912317,2.190639
000.png,1,metal_contamination,1.586952,0.916020,1.453680
001.png,1,metal_contamination,2.060810,0.904197,1.863379
002.png,1,metal_contamination,2.352339,0.904456,2.127587
003.png,1,metal_contamination,2.488677,0.916250,2.280250
004.png,1,metal_contamination,2.685395,0.900098,2.417118
005.png,1,metal_contamination,2.969248,0.905479,2.688592
006.png,1,metal_contamination,2.771870,0.903251,2.503695
007.png,1,metal_contamination,2.875305,0.912722,2.624353
008.png,1,metal_contamination,2.871166,0.920785,2.643726
009.png,1,metal_contamination,2.226418,0.915837,2.039036
010.png,1,metal_contamination,2.935042,0.912511,2.678260
011.png,1,metal_contamination,2.252034,0.922525,2.077558
012.png,1,metal_contamination,2.115189,0.906823,1.918102
013.png,1,metal_contamination,2.449353,0.911641,2.232931
014.png,1,metal_contamination,1.833665,0.910099,1.668817
015.png,1,metal_contamination,2.253573,0.909781,2.050258
016.png,1,metal_contamination,2.113637,0.906090,1.915146
000.png,1,thread,3.060675,0.904909,2.769633
001.png,1,thread,1.958912,0.908619,1.779904
002.png,1,thread,2.499424,0.912862,2.281630
003.png,1,thread,2.287014,0.915369,2.093462
004.png,1,thread,2.699327,0.900825,2.431622
005.png,1,thread,3.074886,0.901829,2.773022
006.png,1,thread,2.737926,0.902161,2.470050
007.png,1,thread,2.594018,0.901826,2.339352
008.png,1,thread,3.387674,0.910306,3.083820
009.png,1,thread,1.797147,0.909734,1.634925
010.png,1,thread,3.007038,0.899321,2.704292
011.png,1,thread,2.796337,0.908595,2.540736
012.png,1,thread,3.127269,0.901814,2.820216
013.png,1,thread,2.697807,0.910967,2.457613
014.png,1,thread,2.050296,0.905681,1.856914
015.png,1,thread,1.931166,0.905356,1.748393
016.png,1,thread,2.604548,0.902687,2.351093
017.png,1,thread,2.817325,0.908329,2.559058
018.png,1,thread,1.688623,0.904024,1.526555
