file,label,defect_type,d_star,w,score_eq7
000.png,1,bent,2.133547,0.914210,1.950509
001.png,1,bent,2.732713,0.905638,2.474848
002.png,1,bent,2.246961,0.913713,2.053078
003.png,1,bent,2.371830,0.918517,2.178565
004.png,1,bent,2.334062,0.904791,2.111838
005.png,1,bent,2.232822,0.908578,2.028694
006.png,1,bent,2.426750,0.909513,2.207160
007.png,1,bent,2.157829,0.907715,1.958695
008.png,1,bent,2.012569,0.910718,1.832884
009.png,1,bent,2.858534,0.908262,2.596297
010.png,1,bent,2.685347,0.909407,2.442073
011.png,1,bent,2.362376,0.916614,2.165386
000.png,1,broken,2.412051,0.909248,2.193151
001.png,1,broken,3.304810,0.903342,2.985374
002.png,1,broken,2.316133,0.918859,2.128199
003.png,1,broken,2.964709,0.904468,2.681484
004.png,1,broken,2.678400,0.909638,2.436375
005.png,1,broken,2.343185,0.906000,2.122925
006.png,1,broken,2.496831,0.910654,2.273750
007.png,1,broken,2.404121,0.909427,2.186373
008.png,1,broken,2.295687,0.913234,2.096500
009.png,1,broken,2.625477,0.913053,2.397200
010.png,1,broken,2.907629,0.908883,2.642694
011.png,1,broken,2.243644,0.916496,2.056292
000.png,1,glue,1.686561,0.908014,1.531421
001.png,1,glue,2.006829,0.914935,1.836118
002.png,1,glue,2.202079,0.916946,2.019187
003.png,1,glue,1.953747,0.908803,1.775571
004.png,1,glue,2.298328,0.902597,2.074463
005.png,1,glue,2.063373,0.920941,1.900244
006.png,1,glue,1.888491,0.911716,1.721768
007.png,1,glue,1.987179,0.915806,1.819870
008.png,1,glue,1.564418,0.918040,1.436197
009.png,1,glue,2.010044,0.919290,1.847814
010.png,1,glue,2.380932,0.916345,2.181756
000.png,0,good,1.604197,0.938665,1.505803
001.png,0,good,1.604898,0.919088,1.475043
002.png,0,good,1.561512,0.918140,1.433686
003.png,0,good,1.765258,0.914873,1.614987
004.png,0,good,1.544076,0.904893,1.397223
005.png,0,good,1.756024,0.926681,1.627274
006.png,0,good,1.763049,0.922679,1.626728
007.png,0,good,1.531214,0.915552,1.401905
008.png,0,good,1.699472,0.916365,1.557337
009.png,0,good,1.580651,0.920574,1.455107
010.png,0,good,1.607764,0.924000,1.485573
011.png,0,good,1.530666,0.915164,1.400809
012.png,0,good,1.648436,0.919717,1.516094
013.png,0,good,1.542872,0.922909,1.423930
014.png,0,good,1.601909,0.921853,1.476724
015.png,0,good,1.573380,0.916489,1.441986
016.png,0,good,1.569954,0.935213,1.468241
017.png,0,good,1.714131,0.907212,1.555080
018.png,0,good,1.971093,0.921312,1.815991
019.png,0,good,1.603134,0.908298,1.456124
020.png,0,good,1.695523,0.916946,1.554704
000.png,1,metal_contamination,2.535838,0.905909,2.297239
001.png,1,metal_contamination,2.625130,0.909131,2.386587
002.png,1,metal_contamination,3.189310,0.904197,2.883764
003.png,1,metal_contamination,2.425608,0.914649,2.218580
004.png,1,metal_contamination,2.428155,0.913264,2.217545
005.png,1,metal_contamination,2.261884,0.911229,2.061094
006.png,1,metal_contamination,2.013128,0.911898,1.835768
007.png,1,metal_contamination,1.956706,0.911837,1.784196
008.png,1,metal_contamination,2.402933,0.910558,2.188010
009.png,1,metal_contamination,1.963641,0.910976,1.788829
010.png,1,metal_contamination,2.345074,0.904975,2.122233
000.png,1,thread,2.285409,0.919531,2.101504
001.png,1,thread,3.022589,0.903172,2.729918
002.png,1,thread,1.794307,0.935239,1.678105
003.png,1,thread,1.818456,0.919487,1.672046
004.png,1,thread,2.699775,0.904304,2.441417
005.png,1,thread,3.071619,0.911462,2.799663
006.png,1,thread,2.272553,0.914679,2.078656
007.png,1,thread,2.114974,0.904900,1.913840
008.png,1,thread,2.078627,0.913890,1.899637
009.png,1,thread,2.437679,0.901888,2.198513
010.png,1,thread,2.572938,0.901614,2.319798
