file,label,defect_type,d_star,w,score_eq7
000.png,1,crack,3.211121,0.927183,2.977296
001.png,1,crack,3.166410,0.919235,2.910675
002.png,1,crack,2.918630,0.916615,2.675260
003.png,1,crack,3.118637,0.912758,2.846561
004.png,1,crack,3.111106,0.904172,2.812974
005.png,1,crack,3.236363,0.919166,2.974754
006.png,1,crack,3.071494,0.910217,2.795726
007.png,1,crack,3.199363,0.915133,2.927844
008.png,1,crack,3.555002,0.914057,3.249473
009.png,1,crack,3.179014,0.906081,2.880443
010.png,1,crack,3.127442,0.923119,2.887002
011.png,1,crack,3.163481,0.915619,2.896544
012.png,1,crack,2.940804,0.913691,2.686986
013.png,1,crack,2.858698,0.918401,2.625431
014.png,1,crack,3.150041,0.918431,2.893095
015.png,1,crack,3.104134,0.918572,2.851370
016.png,1,crack,2.831665,0.922220,2.611418
017.png,1,crack,3.015862,0.914226,2.757180
000.png,1,cut,3.022516,0.917983,2.774617
001.png,1,cut,2.718749,0.907650,2.467672
002.png,1,cut,3.096974,0.908460,2.813477
003.png,1,cut,2.943331,0.914005,2.690220
004.png,1,cut,3.118495,0.918868,2.865486
005.png,1,cut,3.108982,0.903669,2.809492
006.png,1,cut,2.675226,0.913260,2.443176
007.png,1,cut,3.149392,0.924616,2.911978
008.png,1,cut,3.043248,0.910493,2.770856
009.png,1,cut,2.921150,0.916017,2.675822
010.png,1,cut,3.050023,0.910750,2.777809
011.png,1,cut,3.180494,0.915889,2.912978
012.png,1,cut,2.889938,0.910991,2.632708
013.png,1,cut,3.146895,0.920927,2.898060
014.png,1,cut,2.902783,0.914933,2.655852
015.png,1,cut,3.070445,0.911610,2.799050
016.png,1,cut,3.076899,0.910350,2.801054
000.png,0,good,2.198739,0.916798,2.015799
001.png,0,good,2.299934,0.910913,2.095040
002.png,0,good,2.255530,0.917519,2.069492
003.png,0,good,2.120353,0.917138,1.944656
004.png,0,good,2.126532,0.923463,1.963773
005.png,0,good,2.541110,0.921262,2.341028
006.png,0,good,2.177022,0.922597,2.008515
007.png,0,good,2.271871,0.920205,2.090586
008.png,0,good,2.196806,0.916171,2.012651
009.png,0,good,2.281135,0.924936,2.109904
010.png,0,good,2.205132,0.914034,2.015565
011.png,0,good,2.122186,0.911463,1.934293
012.png,0,good,2.386399,0.905508,2.160904
013.png,0,good,2.324025,0.913562,2.123140
014.png,0,good,2.253865,0.919162,2.071667
015.png,0,good,2.096819,0.919186,1.927367
016.png,0,good,2.138664,0.921770,1.971356
017.png,0,good,2.206511,0.918373,2.026400
018.png,0,good,2.297113,0.912852,2.096925
019.png,0,good,2.245944,0.929450,2.087492
020.png,0,good,2.331497,0.913101,2.128892
021.png,0,good,2.122552,0.926197,1.965902
022.png,0,good,2.168262,0.911808,1.977039
023.png,0,good,2.149977,0.909646,1.955718
024.png,0,good,2.242285,0.917919,2.058235
025.png,0,good,2.175803,0.924440,2.011400
026.png,0,good,2.212455,0.918450,2.032030
027.png,0,good,2.327044,0.908334,2.113733
028.png,0,good,2.386834,0.920312,2.196632
029.png,0,good,2.191619,0.922298,2.021326
030.png,0,good,2.103530,0.927675,1.951392
031.png,0,good,2.285808,0.912426,2.085630
032.png,0,good,2.340571,0.930667,2.178292
033.png,0,good,2.174676,0.913764,1.987141
034.png,0,good,2.239743,0.915180,2.049767
035.png,0,good,2.099746,0.913950,1.919063
036.png,0,good,2.460835,0.921121,2.266727
037.png,0,good,2.338580,0.927399,2.168797
038.png,0,good,2.242513,0.927216,2.079295
039.png,0,good,2.365295,0.924758,2.187326
000.png,1,hole,3.403422,0.911848,3.103404
001.png,1,hole,3.558106,0.922746,3.283228
002.png,1,hole,3.576030,0.920103,3.290317
003.png,1,hole,3.848752,0.917959,3.532998
004.png,1,hole,3.576471,0.916883,3.279206
005.png,1,hole,3.338666,0.910327,3.039277
006.png,1,hole,3.425770,0.912848,3.127208
007.png,1,hole,3.730630,0.934802,3.487402
008.png,1,hole,3.160561,0.914066,2.888960
009.png,1,hole,3.395863,0.915120,3.107622
010.png,1,hole,3.469296,0.913368,3.168743
011.png,1,hole,3.466246,0.916938,3.178332
012.png,1,hole,3.474609,0.906271,3.148938
013.png,1,hole,3.378042,0.909824,3.073425
014.png,1,hole,3.260828,0.913131,2.977563
015.png,1,hole,3.187049,0.916171,2.919882
016.png,1,hole,2.871871,0.912959,2.621901
017.png,1,hole,3.329458,0.909801,3.029143
000.png,1,print,3.995407,0.910078,3.636131
001.png,1,print,3.803892,0.907411,3.451694
002.png,1,print,4.191963,0.917130,3.844573
003.png,1,print,3.022644,0.912698,2.758762
004.png,1,print,3.496690,0.922380,3.225276
005.png,1,print,3.500008,0.916548,3.207927
006.png,1,print,3.884876,0.909897,3.534838
007.png,1,print,3.571296,0.921072,3.289420
008.png,1,print,4.529341,0.908597,4.115344
009.png,1,print,3.114510,0.899075,2.800179
010.png,1,print,3.922688,0.909220,3.566586
011.png,1,print,3.685964,0.906687,3.342015
012.png,1,print,3.925828,0.912241,3.581302
013.png,1,print,3.102940,0.920316,2.855684
014.png,1,print,3.532086,0.913290,3.225819
015.png,1,print,2.911164,0.916660,2.668548
016.png,1,print,3.467134,0.912108,3.162400
