file,label,defect_type,d_star,w,score_eq7
000.png,1,color,3.357103,0.903538,3.033272
001.png,1,color,2.960126,0.903338,2.673993
002.png,1,color,2.374828,0.904802,2.148750
003.png,1,color,2.355143,0.907299,2.136820
004.png,1,color,2.004837,0.905629,1.815638
005.png,1,color,2.454957,0.906626,2.225728
006.png,1,color,2.112333,0.906418,1.914657
007.png,1,color,2.467510,0.906422,2.236605
008.png,1,color,2.812856,0.902160,2.537647
009.png,1,color,2.325277,0.900227,2.093277
010.png,1,color,2.513458,0.903113,2.269937
011.png,1,color,2.923073,0.901579,2.635382
012.png,1,color,2.279521,0.901329,2.054599
013.png,1,color,2.620919,0.909963,2.384941
014.png,1,color,2.248988,0.906287,2.038229
015.png,1,color,2.875341,0.904990,2.602154
016.png,1,color,2.107893,0.901703,1.900694
017.png,1,color,2.593890,0.908067,2.355425
018.png,1,color,2.376981,0.907484,2.157072
000.png,1,cut,2.831412,0.915732,2.592814
001.png,1,cut,2.658274,0.907904,2.413459
002.png,1,cut,2.296464,0.904110,2.076255
003.png,1,cut,3.518249,0.906402,3.188947
004.png,1,cut,3.213417,0.909684,2.923195
005.png,1,cut,2.876134,0.901358,2.592428
006.png,1,cut,2.826969,0.908831,2.569238
007.png,1,cut,3.411847,0.901505,3.075795
008.png,1,cut,2.865114,0.916184,2.624971
009.png,1,cut,2.331169,0.906600,2.113439
010.png,1,cut,2.594126,0.913104,2.368708
011.png,1,cut,2.305958,0.908972,2.096050
012.png,1,cut,3.056853,0.911090,2.785067
013.png,1,cut,2.400913,0.909687,2.184081
014.png,1,cut,2.276266,0.913112,2.078486
015.png,1,cut,2.489482,0.907947,2.260317
016.png,1,cut,3.440294,0.908948,3.127050
017.png,1,cut,3.163095,0.913077,2.888151
018.png,1,cut,3.281657,0.904432,2.968037
000.png,1,fold,3.304381,0.903934,2.986943
001.png,1,fold,2.864009,0.903955,2.588936
002.png,1,fold,2.993264,0.909249,2.721623
003.png,1,fold,3.196535,0.904322,2.890699
004.png,1,fold,3.218873,0.906993,2.919496
005.png,1,fold,3.189530,0.906515,2.891355
006.png,1,fold,2.874045,0.906161,2.604347
007.png,1,fold,3.047443,0.912486,2.780750
008.png,1,fold,2.911262,0.906303,2.638485
009.png,1,fold,2.790245,0.910573,2.540722
010.png,1,fold,2.611204,0.904029,2.360603
011.png,1,fold,2.837526,0.902804,2.561729
012.png,1,fold,2.979463,0.906358,2.700460
013.png,1,fold,2.561960,0.903781,2.315450
014.png,1,fold,3.357141,0.903462,3.033050
015.png,1,fold,3.118745,0.905510,2.824054
016.png,1,fold,2.943694,0.907329,2.670899
000.png,1,glue,3.912624,0.903423,3.534756
001.png,1,glue,3.022790,0.908981,2.747660
002.png,1,glue,3.328728,0.910148,3.029636
003.png,1,glue,3.541152,0.907494,3.213573
004.png,1,glue,1.974246,0.919662,1.815639
005.png,1,glue,3.918701,0.902935,3.538334
006.png,1,glue,3.513466,0.901930,3.168900
007.png,1,glue,3.277164,0.906952,2.972232
008.png,1,glue,3.386688,0.902978,3.058106
009.png,1,glue,2.572872,0.899719,2.314861
010.png,1,glue,2.103502,0.905628,1.904991
011.png,1,glue,3.121248,0.908271,2.834939
012.png,1,glue,3.003206,0.901964,2.708783
013.png,1,glue,3.704362,0.900505,3.335795
014.png,1,glue,3.869754,0.903733,3.497223
015.png,1,glue,3.911340,0.903406,3.533527
016.png,1,glue,2.684717,0.904020,2.427037
017.png,1,glue,3.773004,0.902852,3.406464
018.png,1,glue,3.510777,0.903358,3.171490
000.png,0,good,1.412567,0.902908,1.275417
001.png,0,good,1.493113,0.902183,1.347060
002.png,0,good,1.453076,0.906173,1.316739
003.png,0,good,1.404988,0.908361,1.276236
004.png,0,good,1.374485,0.900223,1.237343
005.png,0,good,1.576422,0.903821,1.424804
006.png,0,good,1.460474,0.907592,1.325515
007.png,0,good,1.461394,0.906547,1.324823
008.png,0,good,1.470710,0.911618,1.340725
009.png,0,good,1.421993,0.908718,1.292190
010.png,0,good,1.456227,0.897901,1.307547
011.png,0,good,1.508929,0.908197,1.370405
012.png,0,good,1.473689,0.910780,1.342207
013.png,0,good,1.544253,0.905045,1.397618
014.png,0,good,1.417101,0.908942,1.288062
015.png,0,good,1.476402,0.904456,1.335341
016.png,0,good,1.449003,0.905030,1.311391
017.png,0,good,1.431046,0.910255,1.302617
018.png,0,good,1.372530,0.900861,1.236458
019.png,0,good,1.382043,0.911054,1.259116
020.png,0,good,1.411615,0.908145,1.281951
021.png,0,good,1.589285,0.910390,1.446868
022.png,0,good,1.473406,0.909899,1.340651
023.png,0,good,1.398888,0.896802,1.254525
024.png,0,good,1.547384,0.912748,1.412371
025.png,0,good,1.526156,0.904176,1.379913
026.png,0,good,1.556612,0.901830,1.403799
027.png,0,good,1.441806,0.909165,1.310840
028.png,0,good,1.534831,0.913963,1.402779
029.png,0,good,1.507861,0.906219,1.366452
