file,label,defect_type,d_star,w,score_eq7
000.png,1,bent,3.159914,0.915960,2.894355
001.png,1,bent,2.828827,0.914513,2.586999
002.png,1,bent,2.996979,0.924024,2.769280
003.png,1,bent,3.028694,0.916804,2.776719
004.png,1,bent,2.836745,0.914567,2.594393
005.png,1,bent,3.021034,0.909656,2.748103
006.png,1,bent,2.617384,0.926543,2.425118
007.png,1,bent,2.278028,0.926525,2.110650
008.png,1,bent,2.905307,0.917075,2.664385
009.png,1,bent,3.229814,0.906532,2.927928
010.png,1,bent,3.216438,0.925093,2.975504
011.png,1,bent,2.995367,0.917186,2.747309
012.png,1,bent,2.781456,0.924894,2.572553
013.png,1,bent,2.925850,0.918425,2.687172
014.png,1,bent,2.780620,0.921261,2.561677
015.png,1,bent,2.711389,0.917926,2.488854
016.png,1,bent,3.039730,0.922602,2.804462
017.png,1,bent,3.124777,0.907537,2.835849
018.png,1,bent,2.846671,0.909770,2.589816
019.png,1,bent,2.918142,0.908721,2.651778
020.png,1,bent,2.888556,0.918567,2.653332
021.png,1,bent,3.171491,0.913513,2.897198
022.png,1,bent,2.595331,0.921702,2.392121
023.png,1,bent,2.832039,0.905338,2.563952
024.png,1,bent,2.879026,0.923344,2.658330
000.png,1,color,2.789504,0.915378,2.553451
001.png,1,color,2.775255,0.921520,2.557454
002.png,1,color,3.242436,0.914303,2.964568
003.png,1,color,3.276546,0.911800,2.987555
004.png,1,color,2.401985,0.906568,2.177562
005.png,1,color,2.628247,0.910567,2.393194
006.png,1,color,2.793330,0.902609,2.521284
007.png,1,color,3.076145,0.917564,2.822561
008.png,1,color,3.028246,0.918349,2.780986
009.png,1,color,3.181156,0.902146,2.869865
010.png,1,color,2.939731,0.922231,2.711111
011.png,1,color,3.104795,0.919560,2.855045
012.png,1,color,2.906203,0.909948,2.644492
013.png,1,color,3.034747,0.914473,2.775195
014.png,1,color,3.323058,0.908968,3.020553
015.png,1,color,2.849299,0.912751,2.600701
016.png,1,color,2.778441,0.931258,2.587444
017.png,1,color,2.768037,0.912991,2.527194
018.png,1,color,2.641301,0.916331,2.420305
019.png,1,color,2.772005,0.902961,2.503012
020.png,1,color,3.039279,0.905539,2.752184
021.png,1,color,2.913907,0.911104,2.654872
000.png,1,flip,3.362797,0.910239,3.060949
001.png,1,flip,3.411355,0.920433,3.139923
002.png,1,flip,3.226541,0.906144,2.923713
003.png,1,flip,3.092578,0.907854,2.807609
004.png,1,flip,3.298836,0.913237,3.012618
005.png,1,flip,3.290845,0.906353,2.982667
006.png,1,flip,3.211056,0.911728,2.927609
007.png,1,flip,3.272362,0.910406,2.979177
008.png,1,flip,3.277644,0.915520,3.000748
009.png,1,flip,3.314306,0.906993,3.006054
010.png,1,flip,3.203190,0.912440,2.922720
011.png,1,flip,3.512614,0.905280,3.179898
012.png,1,flip,3.226218,0.910002,2.935865
013.png,1,flip,3.280904,0.909165,2.982882
014.png,1,flip,3.243458,0.911302,2.955769
015.png,1,flip,3.314306,0.912215,3.023360
016.png,1,flip,3.180246,0.909336,2.891913
017.png,1,flip,3.265131,0.912170,2.978353
018.png,1,flip,3.251398,0.910518,2.960455
019.png,1,flip,3.290357,0.904842,2.977251
020.png,1,flip,3.217652,0.906964,2.918293
021.png,1,flip,3.107077,0.907795,2.820587
022.png,1,flip,3.205890,0.909221,2.914864
000.png,0,good,2.037592,0.929322,1.893580
001.png,0,good,2.098873,0.907250,1.904203
002.png,0,good,2.163162,0.929652,2.010987
003.png,0,good,2.070076,0.917884,1.900089
004.png,0,good,2.037855,0.921573,1.878032
005.png,0,good,2.268755,0.928306,2.106100
006.png,0,good,2.083905,0.907704,1.891569
007.png,0,good,2.229109,0.937749,2.090345
008.png,0,good,2.191425,0.907841,1.989464
009.png,0,good,2.072500,0.917320,1.901145
010.png,0,good,2.071424,0.921832,1.909504
011.png,0,good,2.173696,0.914405,1.987638
012.png,0,good,2.125283,0.930140,1.976810
013.png,0,good,2.120448,0.914104,1.938310
014.png,0,good,2.068178,0.932808,1.929212
015.png,0,good,2.132952,0.929873,1.983375
016.png,0,good,2.296267,0.913171,2.096885
017.png,0,good,2.035821,0.928438,1.890133
018.png,0,good,1.990204,0.912221,1.815505
019.png,0,good,2.034759,0.927060,1.886344
020.png,0,good,2.023129,0.915460,1.852094
021.png,0,good,2.075915,0.924973,1.920165
000.png,1,scratch,2.414634,0.924800,2.233055
001.png,1,scratch,2.525116,0.903028,2.280251
002.png,1,scratch,2.980119,0.911485,2.716333
003.png,1,scratch,2.675524,0.914913,2.447871
004.png,1,scratch,2.863135,0.919940,2.633911
005.png,1,scratch,2.800945,0.922164,2.582929
006.png,1,scratch,2.845510,0.912967,2.597857
007.png,1,scratch,3.040937,0.908244,2.761912
008.png,1,scratch,2.998171,0.920196,2.758904
009.png,1,scratch,2.761821,0.917471,2.533890
010.png,1,scratch,2.726856,0.922722,2.516130
011.png,1,scratch,2.974102,0.919539,2.734802
012.png,1,scratch,2.836741,0.902373,2.559798
013.png,1,scratch,2.937336,0.913800,2.684137
014.png,1,scratch,2.807404,0.906182,2.544021
015.png,1,scratch,2.971393,0.909764,2.703268
016.png,1,scratch,2.820578,0.905989,2.555413
017.png,1,scratch,2.821619,0.908481,2.563388
018.png,1,scratch,3.074058,0.912235,2.804265
019.png,1,scratch,2.685995,0.913965,2.454904
020.png,1,scratch,2.360611,0.909219,2.146312
021.png,1,scratch,2.391777,0.909963,2.176429
022.png,1,scratch,2.247388,0.912959,2.051772
