file,label,defect_type,d_star,w,score_eq7
000.png,1,color,1.856773,0.927433,1.722033
001.png,1,color,2.630121,0.901877,2.372044
002.png,1,color,1.952440,0.909386,1.775521
003.png,1,color,2.597864,0.907664,2.357989
004.png,1,color,2.647301,0.905721,2.397716
005.png,1,color,2.071620,0.916315,1.898256
006.png,1,color,2.573654,0.929284,2.391655
007.png,1,color,1.997795,0.905116,1.808236
008.png,1,color,2.086982,0.911372,1.902017
009.png,1,color,2.007867,0.917627,1.842473
010.png,1,color,1.950414,0.916189,1.786948
011.png,1,color,2.240513,0.910504,2.039995
012.png,1,color,2.463696,0.904322,2.227975
013.png,1,color,2.266139,0.913299,2.069663
014.png,1,color,2.465945,0.920417,2.269697
015.png,1,color,2.063948,0.911120,1.880504
016.png,1,color,2.464648,0.916292,2.258337
017.png,1,color,2.125162,0.919809,1.954743
018.png,1,color,2.128767,0.919711,1.957850
019.png,1,color,2.669897,0.920274,2.457036
020.png,1,color,2.401696,0.906608,2.177396
021.png,1,color,2.668564,0.915165,2.442175
022.png,1,color,2.712920,0.904139,2.452857
023.png,1,color,2.592564,0.905952,2.348739
024.png,1,color,2.001560,0.928318,1.858084
000.png,1,combined,2.241974,0.928414,2.081479
001.png,1,combined,2.297245,0.907924,2.085723
002.png,1,combined,2.718697,0.916565,2.491862
003.png,1,combined,2.713539,0.910307,2.470154
004.png,1,combined,2.280579,0.909432,2.074031
005.png,1,combined,2.209723,0.904384,1.998439
006.png,1,combined,2.133193,0.913929,1.949588
007.png,1,combined,2.160088,0.903196,1.950983
008.png,1,combined,2.561998,0.905764,2.320566
009.png,1,combined,2.793526,0.907695,2.535669
010.png,1,combined,2.287827,0.921388,2.107976
011.png,1,combined,2.539618,0.903134,2.293614
012.png,1,combined,2.406121,0.931145,2.240448
013.png,1,combined,2.454756,0.915743,2.247926
014.png,1,combined,2.654404,0.900325,2.389827
015.png,1,combined,2.131835,0.910524,1.941087
016.png,1,combined,2.544780,0.912290,2.321577
000.png,1,contamination,2.107579,0.906041,1.909554
001.png,1,contamination,2.252527,0.905529,2.039728
002.png,1,contamination,2.238549,0.910896,2.039086
003.png,1,contamination,3.067551,0.911729,2.796775
004.png,1,contamination,2.094162,0.915448,1.917096
005.png,1,contamination,1.966721,0.916971,1.803426
006.png,1,contamination,2.283476,0.909188,2.076110
007.png,1,contamination,2.427020,0.909902,2.208349
008.png,1,contamination,2.139858,0.909316,1.945807
009.png,1,contamination,2.113147,0.906807,1.916216
010.png,1,contamination,2.149338,0.905141,1.945454
011.png,1,contamination,2.666625,0.909420,2.425082
012.png,1,contamination,2.332061,0.905742,2.112246
013.png,1,contamination,2.106183,0.914576,1.926264
