file,label,defect_type,d_star,w,score_eq7
000.png,0,good,1.656301,0.922927,1.528645
001.png,0,good,1.645607,0.917472,1.509799
002.png,0,good,1.606457,0.917293,1.473592
003.png,0,good,1.589673,0.931880,1.481385
004.png,0,good,1.780330,0.928502,1.653040
005.png,0,good,1.745887,0.936725,1.635416
006.png,0,good,1.557052,0.927146,1.443615
007.png,0,good,1.612534,0.931706,1.502407
008.png,0,good,1.668101,0.920979,1.536287
009.png,0,good,1.667190,0.916315,1.527671
010.png,0,good,1.588869,0.924293,1.468581
011.png,0,good,1.740617,0.931328,1.621086
012.png,0,good,1.596326,0.931527,1.487021
013.png,0,good,1.573169,0.935215,1.471251
014.png,0,good,1.743339,0.929422,1.620297
015.png,0,good,1.689047,0.932134,1.574417
016.png,0,good,1.525083,0.912529,1.391683
017.png,0,good,1.600617,0.918600,1.470326
018.png,0,good,1.618673,0.939318,1.520449
019.png,0,good,1.722506,0.934839,1.610265
020.png,0,good,1.644378,0.927098,1.524500
021.png,0,good,1.599683,0.914994,1.463700
022.png,0,good,1.641296,0.915999,1.503425
023.png,0,good,1.614083,0.931236,1.503092
024.png,0,good,1.792802,0.937988,1.681627
025.png,0,good,1.525758,0.910252,1.388823
026.png,0,good,1.636330,0.927913,1.518372
027.png,0,good,1.580553,0.910263,1.438719
028.png,0,good,1.541656,0.915207,1.410934
029.png,0,good,1.637305,0.922875,1.511027
030.png,0,good,1.561032,0.916042,1.429972
031.png,0,good,1.662288,0.927685,1.542080
032.png,0,good,1.638284,0.921495,1.509671
033.png,0,good,1.621937,0.933987,1.514868
034.png,0,good,1.522519,0.915108,1.393270
035.png,0,good,1.659735,0.925318,1.535782
036.png,0,good,1.563066,0.916770,1.432972
037.png,0,good,1.651859,0.929308,1.535086
038.png,0,good,1.584964,0.923890,1.464332
039.png,0,good,1.610818,0.934316,1.505013
040.png,0,good,1.603680,0.929922,1.491297
000.png,1,manipulated_front,1.820998,0.928503,1.690802
001.png,1,manipulated_front,1.965244,0.922758,1.813444
002.png,1,manipulated_front,1.872935,0.910128,1.704611
003.png,1,manipulated_front,2.022309,0.909150,1.838582
004.png,1,manipulated_front,1.964690,0.920737,1.808962
005.png,1,manipulated_front,2.019482,0.918469,1.854831
006.png,1,manipulated_front,1.895389,0.921818,1.747204
007.png,1,manipulated_front,1.890465,0.920016,1.739258
008.png,1,manipulated_front,1.993179,0.933435,1.860503
009.png,1,manipulated_front,1.948487,0.922029,1.796561
010.png,1,manipulated_front,1.959157,0.928727,1.819523
011.png,1,manipulated_front,1.896705,0.920223,1.745392
012.png,1,manipulated_front,1.798439,0.924191,1.662101
013.png,1,manipulated_front,1.772457,0.908685,1.610606
014.png,1,manipulated_front,1.776748,0.924224,1.642113
015.png,1,manipulated_front,1.906889,0.921529,1.757254
016.png,1,manipulated_front,2.019494,0.919450,1.856823
017.png,1,manipulated_front,1.752807,0.915837,1.605286
018.png,1,manipulated_front,1.986108,0.907229,1.801856
019.png,1,manipulated_front,1.780877,0.918594,1.635903
020.png,1,manipulated_front,1.767171,0.928942,1.641599
021.png,1,manipulated_front,1.622393,0.931233,1.510826
022.png,1,manipulated_front,1.694258,0.922431,1.562836
023.png,1,manipulated_front,1.636678,0.938224,1.535570
000.png,1,scratch_head,1.873991,0.923465,1.730564
001.png,1,scratch_head,1.973262,0.929659,1.834461
002.png,1,scratch_head,1.870085,0.925317,1.730422
003.png,1,scratch_head,1.797293,0.919384,1.652402
004.png,1,scratch_head,1.866144,0.912362,1.702600
005.png,1,scratch_head,1.768103,0.921726,1.629706
006.png,1,scratch_head,1.751579,0.937389,1.641911
007.png,1,scratch_head,2.063561,0.924270,1.907289
008.png,1,scratch_head,1.739049,0.915445,1.592003
009.png,1,scratch_head,1.632862,0.911603,1.488521
010.png,1,scratch_head,1.861847,0.925871,1.723830
011.png,1,scratch_head,2.378837,0.909855,2.164396
012.png,1,scratch_head,1.948984,0.919869,1.792809
013.png,1,scratch_head,1.961307,0.911502,1.787736
014.png,1,scratch_head,1.799682,0.919812,1.655370
015.png,1,scratch_head,2.182752,0.912849,1.992523
016.png,1,scratch_head,1.857726,0.931021,1.729582
017.png,1,scratch_head,1.895988,0.919697,1.743734
018.png,1,scratch_head,1.766029,0.915557,1.616900
019.png,1,scratch_head,2.118013,0.918946,1.946338
020.png,1,scratch_head,1.925758,0.919056,1.769878
021.png,1,scratch_head,1.875521,0.919045,1.723688
022.png,1,scratch_head,1.900291,0.901054,1.712265
023.png,1,scratch_head,1.855467,0.915006,1.697762
000.png,1,scratch_neck,1.938478,0.910963,1.765881
001.png,1,scratch_neck,2.607810,0.911235,2.376328
002.png,1,scratch_neck,2.032850,0.906468,1.842715
003.png,1,scratch_neck,2.563385,0.917479,2.351851
004.png,1,scratch_neck,2.397444,0.921288,2.208737
005.png,1,scratch_neck,1.791380,0.924030,1.655288
006.png,1,scratch_neck,2.220107,0.917622,2.037218
007.png,1,scratch_neck,2.493152,0.913323,2.277054
008.png,1,scratch_neck,2.526552,0.911967,2.304131
009.png,1,scratch_neck,2.700290,0.910983,2.459917
010.png,1,scratch_neck,2.253257,0.913280,2.057855
011.png,1,scratch_neck,1.683810,0.914161,1.539274
012.png,1,scratch_neck,2.163562,0.920835,1.992283
013.png,1,scratch_neck,2.431836,0.921646,2.241292
014.png,1,scratch_neck,2.282349,0.911710,2.080840
015.png,1,scratch_neck,2.506946,0.908381,2.277263
016.png,1,scratch_neck,2.575779,0.911922,2.348909
017.png,1,scratch_neck,2.166186,0.914213,1.980354
018.png,1,scratch_neck,2.232430,0.921114,2.056323
019.png,1,scratch_neck,2.551498,0.902379,2.302418
020.png,1,scratch_neck,2.538458,0.910026,2.310063
