file,label,defect_type,d_star,w,score_eq7
000.png,1,crack,3.166035,0.904898,2.864937
001.png,1,crack,3.595192,0.903037,3.246593
002.png,1,crack,3.661579,0.907905,3.324367
003.png,1,crack,3.251323,0.908462,2.953705
004.png,1,crack,3.235270,0.901397,2.916263
005.png,1,crack,3.228154,0.912110,2.944431
006.png,1,crack,3.846607,0.908532,3.494766
007.png,1,crack,3.059161,0.912348,2.791020
008.png,1,crack,3.004377,0.914670,2.748015
009.png,1,crack,3.323608,0.908082,3.018107
010.png,1,crack,3.962499,0.904007,3.582126
011.png,1,crack,3.125912,0.907069,2.835419
012.png,1,crack,3.172240,0.912768,2.895521
013.png,1,crack,3.030608,0.911181,2.761433
014.png,1,crack,3.314712,0.904346,2.997648
015.png,1,crack,2.650166,0.911864,2.416591
016.png,1,crack,3.182604,0.907240,2.887387
000.png,1,glue_strip,3.229675,0.904484,2.921189
001.png,1,glue_strip,3.290142,0.907295,2.985129
002.png,1,glue_strip,2.838176,0.899412,2.552689
003.png,1,glue_strip,2.752646,0.916070,2.521616
004.png,1,glue_strip,3.528744,0.908098,3.204447
005.png,1,glue_strip,3.092372,0.902409,2.790585
006.png,1,glue_strip,2.995320,0.909287,2.723606
007.png,1,glue_strip,2.944748,0.900625,2.652114
008.png,1,glue_strip,3.247735,0.903601,2.934658
009.png,1,glue_strip,3.064749,0.903586,2.769265
010.png,1,glue_strip,3.011628,0.903994,2.722494
011.png,1,glue_strip,3.098027,0.905883,2.806450
012.png,1,glue_strip,3.358718,0.908025,3.049801
013.png,1,glue_strip,3.193984,0.906614,2.895709
014.png,1,glue_strip,3.367305,0.911640,3.069770
015.png,1,glue_strip,3.376472,0.898984,3.035392
016.png,1,glue_strip,2.989840,0.904164,2.703305
017.png,1,glue_strip,3.235397,0.907714,2.936814
000.png,0,good,1.741176,0.905638,1.576875
001.png,0,good,1.884951,0.906794,1.709261
002.png,0,good,1.725539,0.911597,1.572996
003.png,0,good,1.763935,0.910896,1.606760
004.png,0,good,1.779339,0.903762,1.608099
005.png,0,good,1.825166,0.908584,1.658317
006.png,0,good,1.865424,0.912246,1.701724
007.png,0,good,1.926309,0.905869,1.744983
008.png,0,good,1.836555,0.912905,1.676601
009.png,0,good,1.869203,0.907067,1.695492
010.png,0,good,1.785013,0.909709,1.623842
011.png,0,good,1.781719,0.911754,1.624490
012.png,0,good,1.893003,0.903375,1.710092
013.png,0,good,1.834487,0.901962,1.654637
014.png,0,good,1.795594,0.905124,1.625236
015.png,0,good,1.861888,0.906663,1.688104
016.png,0,good,1.844052,0.908252,1.674864
017.png,0,good,2.132324,0.909661,1.939693
018.png,0,good,1.813758,0.909417,1.649463
019.png,0,good,1.859723,0.902610,1.678604
020.png,0,good,1.864695,0.912834,1.702158
021.png,0,good,1.713040,0.914782,1.567059
022.png,0,good,1.749118,0.910058,1.591798
023.png,0,good,1.763758,0.908434,1.602258
024.png,0,good,1.832457,0.904924,1.658234
025.png,0,good,1.922845,0.914544,1.758526
