file,label,defect_type,d_star,w,score_eq7
000.png,1,defective,3.441977,0.909197,3.129434
001.png,1,defective,2.201250,0.912125,2.007814
002.png,1,defective,2.581858,0.918973,2.372657
003.png,1,defective,2.012068,0.910313,1.831610
004.png,1,defective,2.205425,0.913622,2.014925
005.png,1,defective,3.427388,0.910109,3.119297
006.png,1,defective,2.268945,0.917576,2.081929
007.png,1,defective,2.189595,0.916372,2.006484
008.png,1,defective,2.924589,0.904290,2.644676
009.png,1,defective,2.728851,0.904680,2.468737
010.png,1,defective,3.489586,0.912034,3.182620
011.png,1,defective,2.271345,0.912613,2.072859
012.png,1,defective,3.290197,0.907256,2.985052
013.png,1,defective,2.072457,0.904977,1.875527
014.png,1,defective,3.043983,0.909686,2.769070
015.png,1,defective,2.599014,0.912016,2.370342
016.png,1,defective,3.496690,0.909759,3.181145
017.png,1,defective,3.607478,0.907125,3.272432
018.png,1,defective,1.906624,0.918051,1.750378
019.png,1,defective,3.290657,0.912496,3.002711
020.png,1,defective,2.423435,0.910968,2.207671
021.png,1,defective,2.173748,0.923205,2.006815
022.png,1,defective,3.577431,0.906330,3.242334
023.png,1,defective,3.737854,0.903395,3.376757
024.png,1,defective,2.357364,0.914630,2.156116
025.png,1,defective,3.422887,0.910458,3.116396
026.png,1,defective,3.384439,0.909633,3.078597
027.png,1,defective,2.201958,0.903819,1.990172
028.png,1,defective,2.623176,0.912614,2.393946
029.png,1,defective,3.305390,0.911224,3.011951
000.png,0,good,1.662966,0.917234,1.525330
001.png,0,good,1.750526,0.915509,1.602623
002.png,0,good,1.738704,0.925818,1.609723
003.png,0,good,1.756190,0.918560,1.613166
004.png,0,good,1.760370,0.918418,1.616756
005.png,0,good,1.771560,0.910370,1.612774
006.png,0,good,1.898307,0.921536,1.749358
007.png,0,good,1.796324,0.933860,1.677515
008.png,0,good,1.713956,0.910494,1.560547
009.png,0,good,1.756681,0.920213,1.616521
010.png,0,good,1.744363,0.926760,1.616605
011.png,0,good,1.834216,0.914490,1.677373
