file,label,defect_type,d_star,w,score_eq7
000.png,1,bent_lead,2.634749,0.912381,2.403894
001.png,1,bent_lead,2.199522,0.922235,2.028476
002.png,1,bent_lead,2.460193,0.920871,2.265520
003.png,1,bent_lead,2.405472,0.913078,2.196383
004.png,1,bent_lead,2.616520,0.905541,2.369366
005.png,1,bent_lead,2.743486,0.908722,2.493065
006.png,1,bent_lead,2.807939,0.907074,2.547009
007.png,1,bent_lead,2.962420,0.907565,2.688589
008.png,1,bent_lead,2.577005,0.926057,2.386454
009.png,1,bent_lead,2.556506,0.915682,2.340945
000.png,1,cut_lead,2.570738,0.911178,2.342400
001.png,1,cut_lead,2.543848,0.913882,2.324776
002.png,1,cut_lead,2.487768,0.908427,2.259956
003.png,1,cut_lead,2.742542,0.909689,2.494860
004.png,1,cut_lead,2.647207,0.905090,2.395960
005.png,1,cut_lead,2.813432,0.906129,2.549334
006.png,1,cut_lead,2.608104,0.909992,2.373353
007.png,1,cut_lead,2.539087,0.909851,2.310191
008.png,1,cut_lead,2.506544,0.921587,2.309998
009.png,1,cut_lead,2.756293,0.906848,2.499539
000.png,1,damaged_case,2.646401,0.910369,2.409201
001.png,1,damaged_case,2.939841,0.909690,2.674343
002.png,1,damaged_case,2.307266,0.907227,2.093213
003.png,1,damaged_case,2.705058,0.913273,2.470456
004.png,1,damaged_case,2.600292,0.917045,2.384584
005.png,1,damaged_case,2.737376,0.910279,2.491777
006.png,1,damaged_case,2.632944,0.915287,2.409900
007.png,1,damaged_case,2.608266,0.916167,2.389606
008.png,1,damaged_case,3.056337,0.908832,2.777699
009.png,1,damaged_case,3.187478,0.906687,2.890045
000.png,0,good,1.790101,0.922912,1.652106
001.png,0,good,1.946517,0.917380,1.785697
002.png,0,good,1.893247,0.922114,1.745789
003.png,0,good,1.923244,0.905661,1.741808
004.png,0,good,1.955825,0.923401,1.806011
005.png,0,good,1.926639,0.918229,1.769096
006.png,0,good,1.840690,0.917474,1.688785
007.png,0,good,1.805245,0.914245,1.650436
008.png,0,good,1.987524,0.907980,1.804632
009.png,0,good,1.965577,0.911860,1.792332
010.png,0,good,1.969299,0.936616,1.844476
011.png,0,good,1.855547,0.928471,1.722821
012.png,0,good,1.861721,0.910302,1.694728
013.png,0,good,1.932182,0.902083,1.742988
014.png,0,good,1.845288,0.908785,1.676969
015.png,0,good,1.939944,0.912915,1.771004
016.png,0,good,1.893794,0.913088,1.729200
017.png,0,good,1.878297,0.918288,1.724818
018.png,0,good,1.970698,0.913296,1.799830
019.png,0,good,1.982489,0.915853,1.815670
020.png,0,good,1.903698,0.913801,1.739600
021.png,0,good,1.992820,0.920457,1.834305
022.png,0,good,1.792028,0.931234,1.668798
023.png,0,good,1.895047,0.915912,1.735695
024.png,0,good,2.011414,0.912954,1.836328
025.png,0,good,1.917088,0.916191,1.756420
026.png,0,good,1.936380,0.915135,1.772049
027.png,0,good,1.969697,0.908913,1.790283
028.png,0,good,1.995906,0.914265,1.824787
029.png,0,good,1.968157,0.921037,1.812745
030.png,0,good,1.793665,0.925468,1.659981
031.png,0,good,2.023069,0.926667,1.874711
032.png,0,good,1.902968,0.915215,1.741624
033.png,0,good,1.874758,0.916991,1.719136
034.png,0,good,1.809854,0.905468,1.638765
035.png,0,good,1.883321,0.913840,1.721053
036.png,0,good,1.842104,0.922492,1.699327
037.png,0,good,2.108285,0.913150,1.925181
038.png,0,good,1.901336,0.919310,1.747917
039.png,0,good,1.879664,0.908973,1.708564
040.png,0,good,1.913197,0.913473,1.747654
041.png,0,good,1.969692,0.909224,1.790891
042.png,0,good,2.064099,0.914724,1.888080
043.png,0,good,1.804620,0.924150,1.667739
044.png,0,good,2.138978,0.919743,1.967309
045.png,0,good,2.195723,0.919214,2.018339
046.png,0,good,1.913336,0.916225,1.753047
047.png,0,good,1.834769,0.911579,1.672538
048.png,0,good,1.881416,0.909774,1.711663
049.png,0,good,1.840845,0.910638,1.676343
050.png,0,good,1.822364,0.906728,1.652389
051.png,0,good,1.865528,0.914296,1.705644
052.png,0,good,2.044451,0.913670,1.867954
053.png,0,good,2.020864,0.904002,1.826864
054.png,0,good,1.948753,0.924373,1.801375
055.png,0,good,2.006149,0.914971,1.835569
056.png,0,good,2.051717,0.913557,1.874361
057.png,0,good,1.937915,0.910623,1.764711
058.png,0,good,1.996497,0.910954,1.818717
059.png,0,good,1.971926,0.929139,1.832194
000.png,1,misplaced,2.369260,0.911206,2.158885
001.png,1,misplaced,2.782671,0.916905,2.551446
002.png,1,misplaced,2.486825,0.931146,2.315598
003.png,1,misplaced,2.444618,0.912160,2.229884
004.png,1,misplaced,3.066592,0.907401,2.782628
005.png,1,misplaced,3.492939,0.907984,3.171532
006.png,1,misplaced,2.540501,0.922475,2.343549
007.png,1,misplaced,3.648221,0.906320,3.306455
008.png,1,misplaced,3.907138,0.905232,3.536867
009.png,1,misplaced,2.777253,0.919099,2.552571
