file,label,defect_type,d_star,w,score_eq7
000.png,1,color,3.151592,0.908901,2.864485
001.png,1,color,2.936967,0.910056,2.672804
002.png,1,color,2.900286,0.913147,2.648386
003.png,1,color,3.068916,0.910287,2.793593
004.png,1,color,2.881047,0.908640,2.617835
005.png,1,color,3.098925,0.910068,2.820233
006.png,1,color,2.890752,0.907706,2.623953
007.png,1,color,3.268532,0.909426,2.972487
000.png,1,combined,3.289206,0.911545,2.998260
001.png,1,combined,3.398993,0.916587,3.115472
002.png,1,combined,2.813670,0.916367,2.578353
003.png,1,combined,3.119221,0.912629,2.846692
004.png,1,combined,3.468974,0.903824,3.135342
005.png,1,combined,3.124090,0.912449,2.850574
006.png,1,combined,3.474542,0.906356,3.149171
007.png,1,combined,3.580574,0.916150,3.280343
008.png,1,combined,2.855946,0.913115,2.607807
009.png,1,combined,3.240550,0.916254,2.969168
010.png,1,combined,3.676438,0.904773,3.326340
000.png,0,good,1.695615,0.911797,1.546056
001.png,0,good,1.664749,0.908399,1.512257
002.png,0,good,1.642822,0.901085,1.480322
003.png,0,good,1.584179,0.915022,1.449558
004.png,0,good,1.616141,0.904916,1.462472
005.png,0,good,1.629773,0.910318,1.483611
006.png,0,good,1.671870,0.907377,1.517016
007.png,0,good,1.929437,0.911402,1.758492
008.png,0,good,1.939941,0.922497,1.789589
009.png,0,good,2.116221,0.908287,1.922135
010.png,0,good,1.831514,0.909648,1.666034
011.png,0,good,1.842435,0.913350,1.682788
012.png,0,good,1.842689,0.911310,1.679262
013.png,0,good,1.798168,0.905359,1.627988
014.png,0,good,2.016351,0.913056,1.841042
015.png,0,good,1.975814,0.910627,1.799228
016.png,0,good,2.299016,0.913534,2.100230
017.png,0,good,2.237801,0.912608,2.042234
018.png,0,good,2.175650,0.915702,1.992246
000.png,1,hole,3.488343,0.904534,3.155326
001.png,1,hole,3.104722,0.916808,2.846435
002.png,1,hole,2.694548,0.918373,2.474601
003.png,1,hole,2.888177,0.917556,2.650064
004.png,1,hole,2.625307,0.905740,2.377846
005.png,1,hole,2.152685,0.905060,1.948309
006.png,1,hole,2.278093,0.914308,2.082879
007.png,1,hole,3.214006,0.919982,2.956826
008.png,1,hole,2.858937,0.916493,2.620196
009.png,1,hole,2.976673,0.915509,2.725171
000.png,1,liquid,3.046396,0.907589,2.764875
001.png,1,liquid,3.432202,0.901873,3.095411
002.png,1,liquid,2.968045,0.906569,2.690738
003.png,1,liquid,2.908400,0.903166,2.626768
004.png,1,liquid,3.075370,0.901508,2.772471
005.png,1,liquid,2.898559,0.906485,2.627500
006.png,1,liquid,2.772840,0.906990,2.514938
007.png,1,liquid,3.222603,0.906042,2.919814
008.png,1,liquid,3.414457,0.903081,3.083530
009.png,1,liquid,3.206735,0.902308,2.893462
000.png,1,scratch,2.306376,0.903547,2.083920
001.png,1,scratch,2.024797,0.908875,1.840287
002.png,1,scratch,2.772335,0.910751,2.524906
003.png,1,scratch,2.720341,0.914966,2.489021
004.png,1,scratch,2.643642,0.920275,2.432877
005.png,1,scratch,2.865983,0.913846,2.619066
006.png,1,scratch,2.235334,0.910811,2.035968
007.png,1,scratch,3.008775,0.903509,2.718457
008.png,1,scratch,3.113561,0.912070,2.839787
009.png,1,scratch,2.911040,0.909990,2.649018
010.png,1,scratch,2.886707,0.923353,2.665449
011.png,1,scratch,2.369973,0.905802,2.146726
012.png,1,scratch,2.477091,0.913191,2.262057
013.png,1,scratch,2.626168,0.908252,2.385223
014.png,1,scratch,2.743642,0.912307,2.503045
015.png,1,scratch,2.889307,0.910848,2.631720
016.png,1,scratch,2.816100,0.910452,2.563923
017.png,1,scratch,2.383657,0.912652,2.175449
018.png,1,scratch,2.590800,0.911650,2.361902
019.png,1,scratch,3.001605,0.912442,2.738791
020.png,1,scratch,2.777912,0.904188,2.511754
