file,label,defect_type,d_star,w,score_eq7
000.png,1,broken_teeth,1.879866,0.914173,1.718524
001.png,1,broken_teeth,2.026788,0.914328,1.853149
002.png,1,broken_teeth,1.708984,0.909497,1.554316
003.png,1,broken_teeth,2.201323,0.909194,2.001429
004.png,1,broken_teeth,1.939615,0.899189,1.744080
005.png,1,broken_teeth,2.009990,0.906422,1.821899
006.png,1,broken_teeth,2.162874,0.904082,1.955415
007.png,1,broken_teeth,2.605335,0.906863,2.362683
008.png,1,broken_teeth,2.093981,0.906050,1.897252
009.png,1,broken_teeth,1.625461,0.914297,1.486154
010.png,1,broken_teeth,2.391602,0.913655,2.185099
011.png,1,broken_teeth,2.077609,0.910791,1.892267
012.png,1,broken_teeth,1.786777,0.912068,1.629662
013.png,1,broken_teeth,2.427386,0.899313,2.182980
014.png,1,broken_teeth,2.027803,0.905714,1.836609
015.png,1,broken_teeth,1.785799,0.910538,1.626037
016.png,1,broken_teeth,1.498145,0.908373,1.360874
017.png,1,broken_teeth,2.651821,0.903801,2.396719
018.png,1,broken_teeth,2.552090,0.918540,2.344196
000.png,1,combined,2.947507,0.902949,2.661449
001.png,1,combined,2.068348,0.904449,1.870716
002.png,1,combined,1.980646,0.906527,1.795510
003.png,1,combined,2.292496,0.904735,2.074101
004.png,1,combined,2.026938,0.902468,1.829247
005.png,1,combined,2.492269,0.900159,2.243438
006.png,1,combined,3.371452,0.905307,3.052198
007.png,1,combined,2.090071,0.901075,1.883310
008.png,1,combined,2.020171,0.902508,1.823220
009.png,1,combined,2.068884,0.907555,1.877627
010.png,1,combined,2.752596,0.914804,2.518086
011.png,1,combined,2.616638,0.908755,2.377883
012.png,1,combined,2.286961,0.899992,2.058246
013.png,1,combined,2.794687,0.904280,2.527180
014.png,1,combined,2.343688,0.899687,2.108586
015.png,1,combined,2.710598,0.904212,2.450957
000.png,1,fabric_border,2.818472,0.905342,2.551682
001.png,1,fabric_border,3.276422,0.905947,2.968264
002.png,1,fabric_border,2.203615,0.905136,1.994571
003.png,1,fabric_border,2.730199,0.907927,2.478822
004.png,1,fabric_border,2.630426,0.908722,2.390327
005.png,1,fabric_border,3.217762,0.905011,2.912111
006.png,1,fabric_border,2.719248,0.904222,2.458805
007.png,1,fabric_border,2.554849,0.909189,2.322840
008.png,1,fabric_border,2.672399,0.908267,2.427252
009.png,1,fabric_border,2.948394,0.907009,2.674219
010.png,1,fabric_border,2.728436,0.902986,2.463740
011.png,1,fabric_border,2.673728,0.901923,2.411496
012.png,1,fabric_border,2.654677,0.900784,2.391292
013.png,1,fabric_border,2.702870,0.904012,2.443427
014.png,1,fabric_border,2.723251,0.904038,2.461921
015.png,1,fabric_border,2.744267,0.904455,2.482066
016.png,1,fabric_border,2.890238,0.907335,2.622413
000.png,1,fabric_interior,2.073264,0.909745,1.886142
001.png,1,fabric_interior,1.563923,0.899217,1.406307
002.png,1,fabric_interior,1.850418,0.904980,1.674590
003.png,1,fabric_interior,2.092924,0.911502,1.907703
004.png,1,fabric_interior,2.109492,0.905759,1.910691
005.png,1,fabric_interior,1.690016,0.901913,1.524248
006.png,1,fabric_interior,2.275630,0.911051,2.073215
007.png,1,fabric_interior,1.387953,0.904410,1.255280
008.png,1,fabric_interior,2.090425,0.905378,1.892625
009.png,1,fabric_interior,2.012617,0.909120,1.829712
010.png,1,fabric_interior,1.640400,0.907776,1.489115
011.png,1,fabric_interior,1.886354,0.911110,1.718676
012.png,1,fabric_interior,1.878402,0.902879,1.695969
013.png,1,fabric_interior,2.247488,0.906027,2.036284
014.png,1,fabric_interior,2.165208,0.910519,1.971464
015.png,1,fabric_interior,1.902695,0.910180,1.731795
000.png,0,good,1.274587,0.913548,1.164396
001.png,0,good,1.274668,0.922221,1.175526
002.png,0,good,1.504666,0.906519,1.364008
003.png,0,good,1.464736,0.911288,1.334797
004.png,0,good,1.311193,0.905967,1.187898
005.png,0,good,1.265218,0.909909,1.151233
006.png,0,good,1.199380,0.905418,1.085941
007.png,0,good,1.257488,0.905180,1.138254
008.png,0,good,1.317055,0.906772,1.194268
009.png,0,good,1.327177,0.904597,1.200560
010.png,0,good,1.186558,0.903072,1.071547
011.png,0,good,1.225567,0.905699,1.109995
